,sberbank-ai/rugpt3large_based_on_gpt2,sberbank-ai/rugpt3medium_based_on_gpt2,sberbank-ai/rugpt3small_based_on_gpt2,sberbank-ai/rugpt2large
0,"Насыщенный интересный день. За любые дела надо браться с энтузиазмом.     14   Утром я проснулась в постели от шума. Открыв глаза, увидела, что мама сидит на стуле рядом со мной. В руках у неё был мой рюкзак, и она пыталась что-","Насыщенный интересный день. За любые дела не буду браться, пока не разберусь с ними.  — Я не могу, это очень сложно, — она покачала головой. — Не могу.  — Почему?  — Потому что я не умею.","Насыщенный интересный день. За любые дела в день, даже небольшие, надо платить.  — Какие еще дела?  — Я не знаю.  — Ничего не знаю. Напиши.  — Я не знаю.  — Хорошо",Насыщенный интересный день. За любые дела беритесь с огоньком! Юрий Викторович Фомин     Ю. Фомин  На любой работе можно сделать карьеру                      
1,"Насыщенный интересный день. За любые дела надо браться с удовольствием. В общем, день хороший.        24549475 cisy 2013-08-27 01:48:00 Эх, хорошо на море!  На море",Насыщенный интересный день. За любые дела надо отвечать.     10736157 karelmilitary 2016-06-29 14:56:00 Пожар на авиационном заводе в Карелии Оригинал взят у  в Пожар на авиационном заводе в,"Насыщенный интересный день. За любые дела, любые проблемы, любые вопросы. И вообще, все, что касается жизни, которая должна быть только для тебя.  Вот почему так много говорят о себе, но на самом деле все мы не такие!    И мы говорим не о",Насыщенный интересный день. За любые дела берусь с превеликим удовольствием Ирина Викторовна Мезенцева   Бизнес и жизнь Ирина Мезенцева – автор бестселлера «За любые дела берусь с превеликим удовольствием». Она рассказывает о
2,"Насыщенный интересный день. За любые дела буду браться с большим энтузиазмом. Не могу сказать, что очень доволен собой, но доволен тем, что делаю.  Впереди у меня 2 выходных дня.                  ",Насыщенный интересный день. За любые дела берутся с удовольствием   24701851 alexey-pichugin 2007-05-01 22:08:00 Окончание интервью с Борисом ПИШАНОМ.   247,Насыщенный интересный день. За любые дела и любую работу с удовольствием помогу.    14779553 dimetilami 2015-12-25 18:27:00 Вспоминая о старых добрых временах...    14779554,"Насыщенный интересный день. За любые дела беритесь, пока не поздно.     День пятый                                     "
3,"Будьте практичны. Этот день может быть самым продуктивным, если вы будете использовать его для того, чтобы изменить свое поведение. Если вы не будете лениться, то, в конце концов, сможете изменить себя.                ","Будьте практичны. Этот день может принести вам много неожиданностей, и не старайтесь их избежать.     5.03.2012               10.03.12        ","Будьте практичны. Этот день может значить вам, что вы можете стать профессиональным спортсменом.                                       ",Будьте практичны. Этот день может стать еще одним в череде ваших ошибок.     Семерка Червей      Деньги. Финансовое положение. Деньги   Деньги – символ успеха. Но в первую очередь для любого человека деньги – средство
4,"Будьте практичны. Этот день может быть самым необычным, если Вы будете следовать простым правилам, которые помогут Вам избежать разочарований и неприятностей, а также просто хорошо провести время. Если Вы хотите получать только приятные впечатления, то Ваш выбор - это отправиться в отпуск в теплую и приятную страну, где",Будьте практичны. Этот день может стать для вас самым тяжелым.                                             ,Будьте практичны. Этот день может оказаться для вас непростым.      Начало                                     ,"Будьте практичны. Этот день может стать для вас удачным, если вы будете стремиться к повышению эффективности своей работы.        Деньги и карьера   Деньги являются хорошей и важной темой для разговора сегодня. У вас может быть более чем 2 тысячи долларов в банке"
5,"Будьте практичны. Этот день может стать особенным.     Глава 10        Сон в эту ночь был тревожным.  Мне снилась моя семья.  Моя мама, отец, бабушка, дедушка, прадедушка,",Будьте практичны. Этот день может принести вам разочарование.     День 4                                        ,"Будьте практичны. Этот день может принести вам много радости, и все будет хорошо.                                         ",Будьте практичны. Этот день может изменить ваше будущее.       День 13                                       
6,"Благоприятный день. Если вы проявите инициативу, то сможете получить и материальное вознаграждение.  День неблагоприятен. Если у вас возникли проблемы, то они будут быстро разрешены. Вам не стоит принимать самостоятельных решений.  Неблагоприятный день. Не стоит проводить операции","Благоприятный день. Если вы проявите инициативу, то вскоре станете самой богатой женщиной в мире.  Новое знакомство. Если вы хотите узнать, кто из ваших знакомых обладает особыми способностями к магии, то следует обратить внимание на того, кто на вас воздействует.  Изменение","Благоприятный день. Если вы проявите инициативу, то вскоре увидите, что ваша жизнь изменится и вы станете более активными людьми.   В следующий раз, когда вы будете создавать благоприятные дни для своего будущего ребенка, вам следует не забывать, что вы сами — это те самые люди,","Благоприятный день. Если вы проявите инициативу, то это принесет удачу.       Любовь, семья     Возможны семейные торжества, свадьба, рождение ребенка. Возможно, вы будете на виду, поэтому старайтесь держаться в гуще событий. Время,"
7,"Благоприятный день. Если вы проявите инициативу и не будете лениться, то все задуманные дела свершатся в срок. День благоприятен для активной деятельности и творчества. Сны не несут в себе какого-либо пророчества, это всего лишь наше воображение, сны не сбываются и не","Благоприятный день. Если вы проявите инициативу, то на этот раз ваше поведение будет более взвешенным и рассудительным.     5   В середине дня вы можете почувствовать, что у вас есть какие-то проблемы, которые вам нужно решить. Возможно, вы недовольны","Благоприятный день. Если вы проявите инициативу, вы сможете привлечь к себе внимание и друзей.                                       ","Благоприятный день. Если вы проявите инициативу и будете действовать, то получите гораздо больше удовольствия от жизни.     Четверг                       "
8,"Благоприятный день. Если вы проявите инициативу, то можете рассчитывать на успех. Возможны ссоры, но они быстро разрешатся.  Сегодня вы будете не только счастливы, но и удачливы.  День не благоприятен для выполнения любых работ, связанных с огнем.   ","Благоприятный день. Если вы проявите инициативу и решитесь на что-то, то вас ожидает успех в делах, а также вы будете чувствовать себя легко и свободно.  Неблагоприятный день. Не стоит браться за дела, связанные с недвижимостью, так как в","Благоприятный день. Если вы проявите инициативу, проявите инициативу и инициативу, то в день рождения вы получите от своего имени и от имени своего окружения поддержку.                          ","Благоприятный день. Если вы проявите инициативу и начнете действовать, то добьетесь успеха.       Любовь, семья, дети                           "
9,"Ради достижения поставленных целей вы готовы на многое.  – Вы имеете в виду, что готовы убить?  – А вы думаете, я шучу? Вы согласны, что я готов был убить вашего отца?  – Нет, конечно.  – Тогда,","Ради достижения поставленных целей вы готовы поступиться даже жизнью. Ради достижения цели вы готовы пожертвовать всем, даже собственной жизнью. Ради достижения цели вы готовы на все.  Если вы способны подняться над обыденным и обыденными вещами, то вам нет необходимости брать на себя ответственность за свою жизнь. Вы можете","Ради достижения поставленных целей вы готовы идти на любые жертвы, любые лишения, любые лишения в ваших глазах, в глазах друзей и знакомых?                             Оригинал","Ради достижения поставленных целей вы готовы пожертвовать другими. Вы можете не соглашаться с людьми, которые не разделяют ваших убеждений, но вам нравится то, что они делают. Вы никогда не поступитесь принципами. Вы можете быть очень хорошим человеком и при этом быть очень плохим.  Внешность."
10,"Ради достижения поставленных целей вы готовы пожертвовать личным временем и собственными интересами. Вы готовы работать на износ, чтобы достичь своих целей. Вы готовы идти к своей цели до конца.    Вы готовы добиваться поставленных целей, не боясь трудностей.   Вы готовы к тому, что работа будет сделана","Ради достижения поставленных целей вы готовы работать по шестнадцать часов в сутки.     * * *    В последнее время я часто вижу на улицах своих знакомых. Они все время косятся в мою сторону, но я не смотрю на них. Они не обращают на меня внимания,","Ради достижения поставленных целей вы готовы к поиску новых способов реализации ваших собственных планов?  – Я не хочу быть с тем, кто не идет за мной. Я хочу стать тем, чтобы найти ответы на те вопросы, которые мне задают, и стать тем, кто отвечает за то, чтобы","Ради достижения поставленных целей вы готовы на многое, и у вас есть все шансы стать самым молодым президентом Америки.  Как вы стали президентом?         Как вы стали самым молодым президентом Америки?         Как вы стали самым молодым"
11,"Ради достижения поставленных целей вы готовы к любым испытаниям, но всегда есть возможность отступить, чтобы сохранить себя и свои убеждения. Не бойтесь пробовать что-то новое.       Глава 6  Знание и применение      Знание — сила  ","Ради достижения поставленных целей вы готовы жертвовать своим временем, семейными ценностями и друзьями? Да. Ну да. Я всегда стараюсь сделать так, чтобы каждый человек, который мне дорог, был рядом. Да, ради этого. конечно Нет.  Что можно","Ради достижения поставленных целей вы готовы стать одним из наших партнеров.   Если Вы хотите стать частью нашего дружного коллектива, Вы можете стать нашим партнером.   Мы рады, что Вы выбрали наш проект, чтобы работать с нами на благо своей компании.    В настоящее время в области строительства объектов транспортной инфраструктуры","Ради достижения поставленных целей вы готовы на все. А значит, готовы к тому, чтобы сделать для себя все, что только возможно.     Намерение   Ваша цель – не результат, а процесс. Вы способны к созиданию, но не к разрушению."
12,"День пройдет не совсем так, как вы ожидали, но огорчаться не стоит.  Понимание того, что в жизни все не так, как вам хочется, поможет вам справиться с этой проблемой.     Практика      1. Завершите","День пройдет не совсем так, как вы ожидали, но огорчаться не стоит.  Все закончится благополучно"".  Но у меня возникли сомнения: ""О чем думает этот человек?  Он хочет, чтобы я сделала что-то, чего я делать не хочу.  Что я должна сделать?  Как","День пройдет не совсем так, как вы ожидали, но огорчаться вам не приходится.                                           ","День пройдет не совсем так, как вы ожидали, но огорчаться не стоит, – сказала она. – Я думаю, что могу найти для вас кое-что более интересное, чем обычный урок. – И она протянула мне два белых шарика.  Я взяла их, стараясь не"
13,"День пройдет не совсем так, как вы ожидали, но огорчаться нечему.  – Я не ожидала…  – О, я знаю. Вы ждали, что я буду просить вас выйти за меня замуж, и думали, что я вам откажу.  – Нет","День пройдет не совсем так, как вы ожидали, но огорчаться не стоит.  — Но почему?  — Потому что вы, как обычно, не были готовы к такому повороту событий, — сказала она.  — Но почему? — повторил он.","День пройдет не совсем так, как вы ожидали, но огорчаться не стоит.  На данном этапе вы можете в любой момент воспользоваться услугами фирмы ""ПРАМЭКС"", которая предлагает все виды услуг, начиная от диагностики и заканчивая косметическими операциями.  Компания ""ПРАМЭКС","День пройдет не совсем так, как вы ожидали, но огорчаться не стоит.  — Я и не огорчаюсь. Меня больше огорчает, что я не в силах вас понять.  — А напрасно. Если вы не будете понимать меня, я исчезну.  Я"
14,"День пройдет не совсем так, как вы ожидали, но огорчаться не стоит.  Не стоит огорчаться, если не удастся вернуться назад. Когда вы вернетесь, то будете жить так, как жили, и будете делать то, что делали.  Вы не вернетесь назад,","День пройдет не совсем так, как вы ожидали, но огорчаться не стоит.  Во-первых, сегодня очень хорошо пойдут дела, во-вторых, вы можете рассчитывать на то, что ваш бизнес в конце концов пойдет в гору, а в-третьих, даже если у вас сегодня ничего не выйдет","День пройдет не совсем так, как вы ожидали, но огорчаться не стоит.  Главное, что вы готовы к встрече с друзьями, и это будет очень полезно.    Новости   02.04.2014   В рамках Международной выставки ""Иннопром-2014"" компания ""СтройИнвест""","День пройдет не совсем так, как вы ожидали, но огорчаться не стоит.  – А как же, – мрачно буркнул Руди.  – Вы можете не верить мне, но я в принципе могу не принимать против вас никаких мер. Я могу просто оставить вас в покое"
15,"Вы многого добьетесь, если не станете слишком самоуверенны.     Упражнение 5  «Психологическая установка на успех…»   Я предлагаю вам в качестве психологической установки на успех следующие слова: «Я – человек, который многого достиг».  С","Вы многого добьетесь, если не станете играть по правилам.  – Да, но я еще не доиграла, – сказала она. – Мне еще нужно кое-что сделать.  – Что?  – Я должна найти место для нового жилища.","Вы многого добьетесь, если не станете делать этого.   Сделайте все, что для вас может быть полезно, и вам все же лучше, если вы станете делать это так, как вам хочется.   Если вы хотите, чтобы люди были счастливы, тогда не делайте этого. И","Вы многого добьетесь, если не станете скрывать своих талантов, – сказал полковник. – В конце концов, вы можете найти себе какое-нибудь дело здесь, в Вашингтоне, и я уверен, что вы сможете добиться здесь успехов.  – Я не знаю, смогу ли, –"
16,"Вы многого добьетесь, если не станете ждать.     Глава одиннадцатая. Слабые      1. Ошибки, совершенные в ходе процесса принятия решения      1.1. Выбор объекта   Если","Вы многого добьетесь, если не станете спешить.  — Не стану. Если вы не хотите, чтобы я приехал, то я не приеду.  — Пожалуйста, приезжайте.  — Пожалуйста, приезжайте.  — Спасибо, —","Вы многого добьетесь, если не станете думать о том, как вам все будет хорошо.  — Я не могу думать о том, как хорошо мне будет с вами.  — Почему?  — Потому что это не для меня. Я не знаю, как вам","Вы многого добьетесь, если не станете забывать о своих обязанностях.                                              "
17,"Вы многого добьетесь, если не станете спешить.  – Я не умею спешить. Мне нужно время.  – Время – это то, что у вас есть. Вы сможете найти новую работу и начать новую жизнь.  – Я не хочу, чтобы меня кто-","Вы многого добьетесь, если не станете ждать, пока вам что-нибудь предложат.  – Смотря что предлагать! – с вызовом бросила Кэт.  – Я предлагаю тебе сделку.  – Твое предложение не совсем то, что я имела в виду","Вы многого добьетесь, если не станете делать того, что вы считаете правильным.  Я с уважением отношусь к своим родителям, несмотря на их категоричность. Я даже не знаю, как у них это получается.                ","Вы многого добьетесь, если не станете искать легких путей.                                                "
18,День может принести тебе удачу и счастье.                                                    ,"День может принести много открытий. В этом году у меня было мало времени на путешествие, но я успела многое увидеть. В Праге я побывала в музее, где была представлена необычная коллекция уникальных игрушек. В Праге я много гуляла по городу, даже не смотря на то, что времени было много и","День может принести деньги.  И вообще, если Вы хотите узнать, как можно заработать на своем сайте, то Вам сюда.  А если Вы хотите заработать, то здесь   На этом сайте Вы можете заработать на контекстной рекламе.  Здесь Вы найдете информацию о том, как можно заработать на своем сайте","День может принести тебе только горе… Кэролайн Уолдгрин   Вдовствующая герцогиня Тиндейл и ее дочь-сирота были единственными обитателями маленького, тихого и уединенного имения в графстве Суррей.      Кэрол"
19,День может принести радость.                                                        ,День может принести только хорошие новости.       Глава 8                                            ,"День может принести вам удачу, а может и несчастье, а может и счастье. Но главное, что в вашу жизнь придет удача, и вы сможете стать счастливой, и успех вас обязательно удивит!          Глава 12         ","День может принести много бед, — с неожиданной грустью произнес он, — и, возможно, мне не придется больше увидеть свою дочь.  — О, папа, не говори так!  Она протянула руки к отцу.  — Я так счастлива, что ты вернулся."
20,День может принести тебе радость.  — А если я не принесу тебе радость?  — Тогда я умру.  Он взял ее руку и подержал в своих ладонях.  — Не умирай.  — И умру.  — ,"День может принести радость и горе.  И только от тебя зависит, будет ли она светлой или темной.  А вот в какой день ты будешь счастлива?  А может, ты просто выйдешь замуж или родишь ребенка, и тебе, как и любому другому человеку, будет не до счастья?  ","День может принести и счастье и даже деньги. К счастью, у меня есть подруга, которая помогает мне в этом деле, и я могу себе это позволить.  — И что?  — Я могу помочь ей.  — Почему?  — Я знаю,","День может принести столько же, сколько может принести месяц.      Мориак    Время – это жизнь. Время на самом деле ничего не значит.      Джонатан Свифт    Время – это то, что нам кажется, что оно идет"
21,"Благоприятный день для общения. Вы отлично ладите с людьми и готовы идти на компромиссы. Сегодня вы сможете спокойно и без суеты решить любые проблемы. Это день, когда нужно быть предельно внимательными к окружающим людям и не попадаться на глаза недоброжелателям. Настроение у вас должно быть",Благоприятный день для общения. Вы отлично проводите время. Вам очень везет в любви.   23560332 kgb-ru 2017-07-24 21:06:00 Окрашенные автомобили      23560333,"Благоприятный день для общения. Вы отлично проведете время - проведете время с любимым человеком, с друзьями и близкими.                                  ","Благоприятный день для общения. Вы отлично можете выразить свои мысли и чувства и в то же время не попасть впросак. Возможны неожиданные открытия и неожиданные решения.    Неблагоприятный день. Не стоит тратить время на пустые разговоры. Возможно, вам в чем-то"
22,Благоприятный день для общения. Вы отлично ладите с людьми и учитесь у них мудрости.   Гороскоп на март 2018 года                            ,"Благоприятный день для общения. Вы отлично знаете, что большинство людей любят вас и хотят быть с вами, но в то же время опасаются делать первые шаги. Вы хотите, чтобы люди, с которыми вы общаетесь, вели себя так же, как и вы, но не знаете, как","Благоприятный день для общения. Вы отлично проведете время на природе, но не за границей, а в кругу семьи.                                  ","Благоприятный день для общения. Вы отлично ладите с людьми, и вас не будут преследовать неудачи. Вы можете рассчитывать на помощь окружающих.    Неблагоприятный день для общения. Вы потеряете деньги в азартных играх. Опасайтесь обмана со стороны партнеров.   "
23,"Благоприятный день для общения. Вы отлично проведете время и сможете подружиться с новыми людьми.       День, благоприятный для отдыха, веселья и развлечений. Настроение ваше будет на высоте, вы будете счастливы и довольны жизнью. Звезды подтверждают, что вы сможете в",Благоприятный день для общения. Вы отлично проведете время вместе.     17.03                                     ,"Благоприятный день для общения. Вы отлично находите общий язык с друзьями и родными. Ваша сексуальная энергия будет расти, и Вы будете чувствовать себя удовлетворенным.                         ","Благоприятный день для общения. Вы отлично ладите с окружающими. Лучший день для посещения церкви.  Талисманы, амулеты, обереги. Вам следует знать, что талисманами и оберегами обладают не только люди. Они могут быть и у животных, например у домашних"
24,"Спокойный день, благоприятный и плодотворный. Он подходит для медитации и отдыха.          День пройдет спокойно, и вы сумеете разобраться со своими проблемами и сделать для себя выводы.              ","Спокойный день, благоприятный и плодотворный. Он подходит для путешествий и путешествий.                                          ","Спокойный день, благоприятный и плодотворный. Он подходит для того, чтобы сделать жизнь максимально комфортной.                                     ","Спокойный день, благоприятный и плодотворный. Он подходит для начала новых дел, но может быть и удачным при завершении старых. Уделите внимание своему здоровью и постарайтесь сохранить его.         Полнолуние         "
25,"Спокойный день, благоприятный и плодотворный. Он подходит для всех видов работы, к любым мероприятиям. Рекомендуется заниматься любыми занятиями, требующими сосредоточенной работы. Особенно эффективны дела, требующие точной, серьезной концентрации.  День благоприятен для занятий, требующих точности,","Спокойный день, благоприятный и плодотворный. Он подходит для начинаний и начинаний, направленных на расширение.  День благоприятен, если вы полны решимости и целеустремленности, и для того, чтобы приобрести уверенность в себе и преодолеть страх перед будущим.     9 июня","Спокойный день, благоприятный и плодотворный. Он подходит для получения новых знаний, новых впечатлений, новых идей.        В эти дни, когда вы стараетесь избегать конфликтов, не забывайте о здоровье и гармонии.          ","Спокойный день, благоприятный и плодотворный. Он подходит для начала любых дел.         Полнолуние. В этот период вы можете совершить массу полезных дел, а главное – не будете испытывать недостатка в единомышленниках.       "
26,"Спокойный день, благоприятный и плодотворный. Он подходит для любых начинаний и начинаний, связанных с детьми.  Желательно, чтобы ребенок в этот день был в хорошем настроении, но не надо грустить.     День Луны      ","Спокойный день, благоприятный и плодотворный. Он подходит для того, чтобы собраться с мыслями и начать работать. День благоприятен для того, чтобы найти хорошую работу. Это хороший день, чтобы начать новую карьеру.    8. Настройтесь на работу.  Д","Спокойный день, благоприятный и плодотворный. Он подходит для всех, кто любит и ценит себя.                                     ","Спокойный день, благоприятный и плодотворный. Он подходит для того, чтобы сделать что-то, что вам не по силам, но вам это нравится.  Если вы не можете достичь поставленной цели, то просто расслабьтесь и позвольте себе получить удовольствие от процесса.    В"
27,"Удачный день. Беспокоиться особенно не о чем, но все равно волнуюсь.  Дорога заняла несколько минут. Остановились на обочине.  – Куда дальше? – спросил у меня Беня.  – Не знаю. Там видно будет. ","Удачный день. Беспокоиться особенно не о чем, все хорошо. А вот если бы вчера вы не вернулись домой. Тогда можно было бы считать, что вы не были так беспечны.  А в чем проблема?  – Чутье.  – Вы","Удачный день. Беспокоиться особенно не о чем, а вот переживать…  – Что это было? – не понял я.  – Это была ночь. К нам залетел летающий зверь. Он приземлился на крышу дома.  – Что за зверь","Удачный день. Беспокоиться особенно не о чем, – сказал он.  – Я никогда не беспокоюсь о том, что хорошо для меня и моих друзей.  – Угу. – Он потер руки. – Ну, теперь, – сказал"
28,"Удачный день. Беспокоиться особенно не о чем, в конце концов, в его распоряжении целый день.  Он вышел из палатки, и у него сразу же закружилась голова.  В нескольких сотнях ярдов от лагеря горел костер.  Там, где он стоял, было","Удачный день. Беспокоиться особенно не о чем, ты и так знаешь, что у меня все в порядке. И не думай, что я о чем-то прошу.  — А я и не прошу. — Она улыбнулась. — Я просто хочу знать. Ты","Удачный день. Беспокоиться особенно не о чем, а если все плохо, то у тебя ничего не получится.  — Я тоже так думаю.  — И ты, если все плохо, то ты не можешь жить в этом мире.  — Я знаю","Удачный день. Беспокоиться особенно не о чем, – ответил он и, взяв ее за руку, направился к двери.  Через несколько минут они уже вошли в офис.  – Вы уже здесь, – проговорила она, окинув взглядом помещение.  –"
29,"Удачный день. Беспокоиться особенно не о чем, – сказал он. – Это был просто хороший день для нас обоих, и мы с тобой прекрасно провели время.  Они поднялись по лестнице, прошли несколько метров и остановились перед дверью, ведущей в подвал, и она тихонько постуч","Удачный день. Беспокоиться особенно не о чем,  Опасности не предвидеться.  И я, кажется, знаю, кто на меня обидится.        УПРАЖНЕНИЕ 13        ","Удачный день. Беспокоиться особенно не о чем, — сказал он.  — Как-то все по-другому.  — Что?  — Пока что это не мое.  — А как же…  — Нет,","Удачный день. Беспокоиться особенно не о чем, но я все равно беспокоюсь.  — А что ты предлагаешь? — спросил я, не в силах оторвать глаз от стола.  — Я могу позвонить в аэропорт и заказать билет, — предложила она."
30,"Вы сделаете много полезного и для себя,Старайтесь не нервничать. Этот день даёт вам шанс &mdash;Сделать первый шаг. Вы получите то, чего хотите и что можете &mdash;Успех и Счастье. Если вы начнёте действовать, а не сомневаться, он","Вы сделаете много полезного и для себя,Старайтесь не нервничать. Этот день хорош, чтобы решить проблемы в семье, начать все с чистого листа. В этот день нужно проявлять максимум терпения, оптимизма, любви. А еще можно приобрести талисман, который принесет вам удачу.  Стоит ли","Вы сделаете много полезного и для себя,Старайтесь не нервничать. Этот день очень важен для вас. Вы можете быть спокойны, если все пройдет хорошо. Вы можете сделать что-то, чтобы улучшить свою жизнь, и не нервничать по этому поводу.        ","Вы сделаете много полезного и для себя,Старайтесь не нервничать. Этот день для нас не самый лучший. Избегайте ситуаций, которые могут быть опасными.  7 января понедельник           Луна в Скорпионе. Индусы считают, что"
31,"Вы сделаете много полезного и для себя,Старайтесь не нервничать. Этот день может принести неожиданные решения и изменения в вашей жизни. У вас будет много друзей, а если вы сможете их расположить к себе, то получите помощь от друзей.   23624856 mat","Вы сделаете много полезного и для себя,Старайтесь не нервничать. Этот день принесет вам многое. Не забывайте, что для вас важно. Сегодняшний день окажется весьма удачным. Вы будете удивлены тем, что в этот день все ваши планы обязательно осуществятся. В этот день вам не следует предпринимать необ","Вы сделаете много полезного и для себя,Старайтесь не нервничать. Этот день символизирует хорошее настроение, а также избавление от стресса. Он принесет много пользы и хорошего настроения. А если вы решили начать новый бизнес, то этот день благоприятен и для вас.        ","Вы сделаете много полезного и для себя,Старайтесь не нервничать. Этот день можно использовать как хороший шанс избавиться от тревожной зависимости. Если вы будете действовать разумно и спокойно, то не пожалеете.         Деньги. Финансовая ситуация улучшится. Избегайте"
32,"Вы сделаете много полезного и для себя,Старайтесь не нервничать. Этот день хорош для встреч с людьми,которые могут изменить вашу жизнь к лучшему.Хороше провести время с семьей,если есть дети.В этот день хорошо делать покупки.  Какие полезные и не очень традиции и обычаи народов","Вы сделаете много полезного и для себя,Старайтесь не нервничать. Этот день очень важен для вас,и будет хорошим, если вы с ним справитесь.  Какие есть онлайн игры про роботов, чтобы можно было играть вдвоем. Это очень увлекательная игра с роботами. Она очень","Вы сделаете много полезного и для себя,Старайтесь не нервничать. Этот день – для вас, для себя. Он поможет вам избавиться от страхов. Если вы все сделаете правильно, то ваша жизнь будет счастливой.                  ","Вы сделаете много полезного и для себя,Старайтесь не нервничать. Этот день – решающий.       Луна в Стрельце              В этот день можно хорошо и активно отдохнуть, особенно в ночное время. Это хороший"
